,sim,szn,terr,data_avail,rank,rank_stat
591,merra2,NOV,7,30.0,2.0,1.07
592,merra2,NOV,10,60.0,3.0,0.27
593,merra2,NOV,11,30.0,1.0,0.0604
594,merra2,NOV,12,30.0,1.0,1.08
595,merra2,NOV,13,60.0,4.0,1.93
596,merra2,NOV,14,150.0,3.0,0.691
597,merra2,NOV,16,30.0,4.0,0.485
598,merra2,OCT,1,806.0,4.0,0.856
599,merra2,OCT,2,155.0,4.0,0.482
600,merra2,OCT,3,93.0,2.0,0.417
601,merra2,OCT,4,0.0,,
602,merra2,OCT,5,31.0,4.0,0.309
603,merra2,OCT,6,0.0,,
604,merra2,OCT,7,31.0,1.0,0.929
605,merra2,OCT,10,62.0,4.0,0.741
606,merra2,OCT,11,31.0,4.0,0.149
607,merra2,OCT,12,31.0,3.0,0.241
608,merra2,OCT,13,62.0,3.0,0.771
609,merra2,OCT,14,155.0,4.0,0.5
610,merra2,OCT,16,31.0,4.0,0.887
611,merra2,SEP,1,957.0,4.0,2.77
612,merra2,SEP,2,205.0,4.0,2.57
